-
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,109,MOLLY,52,A754989,07/29/2017,S,1Y 8M,,,,11,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,109,SIR,43.25,A786266,12/21/2018,N,1Y 1M,,,,28,DVM HOLD,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,110,*TOBY,66,A787362,,M,2Y,,,,6,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,113,*RICKSHAW,58,A784344,,M,6Y,,,,64,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,114,*TREBLE,55,A786327,,M,1Y 1M,,,,26,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,115,*PUGGY,35.5,A785179,,F,3Y,ON TX,,,51,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,115,*CHICKPEA,33,A787326,,F,1Y,,,,6,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,116,POPCORN,61,A781838,10/10/2018,S,8M,,,,11,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,116,*WILLIAM,52.5,A786088,,M,1Y 1M,,,,32,DVM HOLD,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,117,HUSKER DU,40,A768379,,N,5Y,,,,87,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,117,PALOMA,68,A784533,12/30/2018,S,2Y,,,,17,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,118,*DEEDEE,55,A737219,,F,4Y,,,,14,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,118,*RANDI,70,A785733,,F,3Y,,,,40,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,120,CANELA,50,A637940,,S,9Y,ON TX,,,20,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,120,LEVON,48,A697222,02/25/2015,N,5Y,,,BE2,53,,RED,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,201,*WINNIE,42.5,A782714,,F,6Y,,,,89,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,201,PENNY,38,A787198,,S,10M,,,,8,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,202,*MOOSH,45,A786303,12/30/2018,S,2Y,,,,1,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,205,*SELENA,56,A787341,,F,2Y,,,,5,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,205,CRYSTAL,45,A787393,,S,2Y,,,,5,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,206,*SMOKEY,47,A787390,,M,1Y,,,,5,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,207,*THEO,69,A787298,,M,2Y,,,,7,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,208,BELLA,72,A701495,,S,8Y,ON TX,,,47,,RED,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,209,PERLA,78,A720278,02/07/2016,S,3Y,,,,71,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,212,*ZUMA,52,A779464,,M,11M,,BER,,50,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,212,*DOBBY,43,A780942,,M,2Y,,,,117,,ORANGE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,213,*TIPTOE,47,A783222,12/15/2018,N,2Y,,,,82,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,214,*CUB,46,A787344,,M,2Y,,,,6,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,214,*GALAXY,45,A787388,,M,1Y,,,,5,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,216,*NELLIE,39.5,A787024,,S,1Y,ON TX,,,11,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,216,CALI,52.5,A787311,,F,9M,,BER,,6,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,217,SID,49.25,A787178,,N,1Y,,,,9,,ORANGE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,218,*GUNTHER,42.5,A787327,,M,1Y,,,,6,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,218,*DOMINIC,49,A787402,,M,2Y,,,,5,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,219,LUNA,45,A783017,11/24/2018,S,3Y,,,,49,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,219,*HANK,50.25,A785637,,M,1Y 7M,,,,42,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,220,SANDY,55,A780605,,F,2Y,,,,73,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,220,*CLARISSA,60,A782007,,F,4Y,,,,100,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,305,KIMBER,54,A782636,,S,3Y,,,,91,,BLUE,1
